turn,trajectories_reaching_turn,action,count,share_of_reaching,share_of_action_total
19,67,python,11,0.16417910,0.01800327
19,67,pytest,0,0.00000000,0.00000000
20,56,search_dir,1,0.01785714,0.00657895
20,56,search_file,5,0.08928571,0.02777778
20,56,find_file,1,0.01785714,0.00452489
20,56,find,0,0.00000000,0.00000000
20,56,create,1,0.01785714,0.00393701
20,56,edit,22,0.39285714,0.01635688
20,56,exit_cost,0,0.00000000,0.00000000
20,56,submit,4,0.07142857,0.01503759
20,56,open,2,0.03571429,0.00443459
20,56,scroll_up,1,0.01785714,0.02777778
20,56,scroll_down,3,0.05357143,0.01401869
20,56,goto,3,0.05357143,0.01395349
20,56,python3,0,0.00000000,0.00000000
20,56,python,7,0.12500000,0.01145663
20,56,pytest,0,0.00000000,0.00000000
21,52,search_dir,2,0.03846154,0.01315789
21,52,search_file,1,0.01923077,0.00555556
21,52,find_file,1,0.01923077,0.00452489
21,52,find,0,0.00000000,0.00000000
21,52,create,0,0.00000000,0.00000000
21,52,edit,19,0.36538462,0.01412639
21,52,exit_cost,0,0.00000000,0.00000000
21,52,submit,5,0.09615385,0.01879699
21,52,open,8,0.15384615,0.01773836
21,52,scroll_up,0,0.00000000,0.00000000
21,52,scroll_down,3,0.05769231,0.01401869
21,52,goto,3,0.05769231,0.01395349
21,52,python3,0,0.00000000,0.00000000
21,52,python,7,0.13461538,0.01145663
21,52,pytest,0,0.00000000,0.00000000
22,47,search_dir,0,0.00000000,0.00000000
22,47,search_file,0,0.00000000,0.00000000
22,47,find_file,1,0.02127660,0.00452489
22,47,find,0,0.00000000,0.00000000
22,47,create,1,0.02127660,0.00393701
22,47,edit,22,0.46808511,0.01635688
22,47,exit_cost,1,0.02127660,0.05000000
22,47,submit,2,0.04255319,0.00751880
22,47,open,4,0.08510638,0.00886918
22,47,scroll_up,0,0.00000000,0.00000000
22,47,scroll_down,3,0.06382979,0.01401869
22,47,goto,5,0.10638298,0.02325581
22,47,python3,0,0.00000000,0.00000000
22,47,python,4,0.08510638,0.00654664
22,47,pytest,0,0.00000000,0.00000000
23,44,search_dir,2,0.04545455,0.01315789
23,44,search_file,3,0.06818182,0.01666667
23,44,find_file,0,0.00000000,0.00000000
23,44,find,0,0.00000000,0.00000000
23,44,create,0,0.00000000,0.00000000
23,44,edit,19,0.43181818,0.01412639
23,44,exit_cost,0,0.00000000,0.00000000
23,44,submit,2,0.04545455,0.00751880
23,44,open,3,0.06818182,0.00665188
23,44,scroll_up,0,0.00000000,0.00000000
23,44,scroll_down,2,0.04545455,0.00934579
23,44,goto,1,0.02272727,0.00465116
23,44,python3,0,0.00000000,0.00000000
23,44,python,10,0.22727273,0.01636661
23,44,pytest,0,0.00000000,0.00000000
24,42,search_dir,0,0.00000000,0.00000000
24,42,search_file,4,0.09523810,0.02222222
24,42,find_file,0,0.00000000,0.00000000
24,42,find,0,0.00000000,0.00000000
24,42,create,1,0.02380952,0.00393701
24,42,edit,16,0.38095238,0.01189591
24,42,exit_cost,0,0.00000000,0.00000000
24,42,submit,1,0.02380952,0.00375940
24,42,open,3,0.07142857,0.00665188
24,42,scroll_up,0,0.00000000,0.00000000
24,42,scroll_down,2,0.04761905,0.00934579
24,42,goto,3,0.07142857,0.01395349
24,42,python3,0,0.00000000,0.00000000
24,42,python,8,0.19047619,0.01309329
24,42,pytest,0,0.00000000,0.00000000
25,41,search_dir,0,0.00000000,0.00000000
25,41,search_file,0,0.00000000,0.00000000
25,41,find_file,0,0.00000000,0.00000000
25,41,find,0,0.00000000,0.00000000
25,41,create,0,0.00000000,0.00000000
25,41,edit,16,0.39024390,0.01189591
25,41,exit_cost,0,0.00000000,0.00000000
25,41,submit,4,0.09756098,0.01503759
25,41,open,4,0.09756098,0.00886918
25,41,scroll_up,0,0.00000000,0.00000000
25,41,scroll_down,3,0.07317073,0.01401869
25,41,goto,5,0.12195122,0.02325581
25,41,python3,0,0.00000000,0.00000000
25,41,python,4,0.09756098,0.00654664
25,41,pytest,0,0.00000000,0.00000000
26,37,search_dir,0,0.00000000,0.00000000
26,37,search_file,3,0.08108108,0.01666667
26,37,find_file,0,0.00000000,0.00000000
26,37,find,0,0.00000000,0.00000000
26,37,create,0,0.00000000,0.00000000
26,37,edit,18,0.48648649,0.01338290
26,37,exit_cost,0,0.00000000,0.00000000
26,37,submit,3,0.08108108,0.01127820
26,37,open,3,0.08108108,0.00665188
26,37,scroll_up,0,0.00000000,0.00000000
26,37,scroll_down,3,0.08108108,0.01401869
26,37,goto,1,0.02702703,0.00465116
26,37,python3,0,0.00000000,0.00000000
26,37,python,6,0.16216216,0.00981997
26,37,pytest,0,0.00000000,0.00000000
27,34,search_dir,3,0.08823529,0.01973684
27,34,search_file,0,0.00000000,0.00000000
27,34,find_file,1,0.02941176,0.00452489
27,34,find,0,0.00000000,0.00000000
27,34,create,0,0.00000000,0.00000000
27,34,edit,11,0.32352941,0.00817844
27,34,exit_cost,0,0.00000000,0.00000000
27,34,submit,2,0.05882353,0.00751880
27,34,open,1,0.02941176,0.00221729
27,34,scroll_up,0,0.00000000,0.00000000
27,34,scroll_down,3,0.08823529,0.01401869
27,34,goto,4,0.11764706,0.01860465
27,34,python3,0,0.00000000,0.00000000
27,34,python,6,0.17647059,0.00981997
27,34,pytest,0,0.00000000,0.00000000
28,32,search_dir,0,0.00000000,0.00000000
28,32,search_file,0,0.00000000,0.00000000
28,32,find_file,0,0.00000000,0.00000000
28,32,find,0,0.00000000,0.00000000
28,32,create,0,0.00000000,0.00000000
28,32,edit,14,0.43750000,0.01040892
28,32,exit_cost,0,0.00000000,0.00000000
28,32,submit,5,0.15625000,0.01879699
28,32,open,4,0.12500000,0.00886918
28,32,scroll_up,0,0.00000000,0.00000000
28,32,scroll_down,3,0.09375000,0.01401869
28,32,goto,0,0.00000000,0.00000000
28,32,python3,0,0.00000000,0.00000000
28,32,python,3,0.09375000,0.00490998
28,32,pytest,0,0.00000000,0.00000000
29,27,search_dir,0,0.00000000,0.00000000
29,27,search_file,2,0.07407407,0.01111111
29,27,find_file,1,0.03703704,0.00452489
29,27,find,0,0.00000000,0.00000000
29,27,create,1,0.03703704,0.00393701
29,27,edit,11,0.40740741,0.00817844
29,27,exit_cost,0,0.00000000,0.00000000
29,27,submit,2,0.07407407,0.00751880
29,27,open,3,0.11111111,0.00665188
29,27,scroll_up,0,0.00000000,0.00000000
29,27,scroll_down,2,0.07407407,0.00934579
29,27,goto,1,0.03703704,0.00465116
29,27,python3,0,0.00000000,0.00000000
29,27,python,2,0.07407407,0.00327332
29,27,pytest,0,0.00000000,0.00000000
30,25,search_dir,0,0.00000000,0.00000000
30,25,search_file,2,0.08000000,0.01111111
30,25,find_file,0,0.00000000,0.00000000
30,25,find,0,0.00000000,0.00000000
30,25,create,0,0.00000000,0.00000000
30,25,edit,10,0.40000000,0.00743494
30,25,exit_cost,1,0.04000000,0.05000000
30,25,submit,1,0.04000000,0.00375940
30,25,open,4,0.16000000,0.00886918
30,25,scroll_up,0,0.00000000,0.00000000
30,25,scroll_down,1,0.04000000,0.00467290
30,25,goto,1,0.04000000,0.00465116
30,25,python3,0,0.00000000,0.00000000
30,25,python,5,0.20000000,0.00818331
30,25,pytest,0,0.00000000,0.00000000
31,23,search_dir,0,0.00000000,0.00000000
31,23,search_file,1,0.04347826,0.00555556
31,23,find_file,1,0.04347826,0.00452489
31,23,find,0,0.00000000,0.00000000
31,23,create,0,0.00000000,0.00000000
31,23,edit,6,0.26086957,0.00446097
31,23,exit_cost,2,0.08695652,0.10000000
31,23,submit,1,0.04347826,0.00375940
31,23,open,2,0.08695652,0.00443459
31,23,scroll_up,0,0.00000000,0.00000000
31,23,scroll_down,3,0.13043478,0.01401869
31,23,goto,2,0.08695652,0.00930233
31,23,python3,0,0.00000000,0.00000000
31,23,python,3,0.13043478,0.00490998
31,23,pytest,0,0.00000000,0.00000000
32,20,search_dir,1,0.05000000,0.00657895
32,20,search_file,1,0.05000000,0.00555556
32,20,find_file,0,0.00000000,0.00000000
32,20,find,0,0.00000000,0.00000000
32,20,create,0,0.00000000,0.00000000
32,20,edit,9,0.45000000,0.00669145
32,20,exit_cost,1,0.05000000,0.05000000
32,20,submit,2,0.10000000,0.00751880
32,20,open,2,0.10000000,0.00443459
32,20,scroll_up,0,0.00000000,0.00000000
32,20,scroll_down,2,0.10000000,0.00934579
32,20,goto,0,0.00000000,0.00000000
32,20,python3,0,0.00000000,0.00000000
32,20,python,1,0.05000000,0.00163666
32,20,pytest,0,0.00000000,0.00000000
33,17,search_dir,0,0.00000000,0.00000000
33,17,search_file,1,0.05882353,0.00555556
33,17,find_file,1,0.05882353,0.00452489
33,17,find,0,0.00000000,0.00000000
33,17,create,0,0.00000000,0.00000000
33,17,edit,4,0.23529412,0.00297398
33,17,exit_cost,4,0.23529412,0.20000000
33,17,submit,0,0.00000000,0.00000000
33,17,open,2,0.11764706,0.00443459
33,17,scroll_up,0,0.00000000,0.00000000
33,17,scroll_down,2,0.11764706,0.00934579
33,17,goto,0,0.00000000,0.00000000
33,17,python3,0,0.00000000,0.00000000
33,17,python,3,0.17647059,0.00490998
33,17,pytest,0,0.00000000,0.00000000
34,13,search_dir,0,0.00000000,0.00000000
34,13,search_file,1,0.07692308,0.00555556
34,13,find_file,1,0.07692308,0.00452489
34,13,find,0,0.00000000,0.00000000
34,13,create,0,0.00000000,0.00000000
34,13,edit,3,0.23076923,0.00223048
34,13,exit_cost,5,0.38461538,0.25000000
34,13,submit,1,0.07692308,0.00375940
34,13,open,1,0.07692308,0.00221729
34,13,scroll_up,0,0.00000000,0.00000000
34,13,scroll_down,0,0.00000000,0.00000000
34,13,goto,0,0.00000000,0.00000000
34,13,python3,0,0.00000000,0.00000000
34,13,python,1,0.07692308,0.00163666
34,13,pytest,0,0.00000000,0.00000000
35,7,search_dir,0,0.00000000,0.00000000
35,7,search_file,0,0.00000000,0.00000000
35,7,find_file,0,0.00000000,0.00000000
35,7,find,0,0.00000000,0.00000000
35,7,create,0,0.00000000,0.00000000
35,7,edit,3,0.42857143,0.00223048
35,7,exit_cost,1,0.14285714,0.05000000
35,7,submit,0,0.00000000,0.00000000
35,7,open,0,0.00000000,0.00000000
35,7,scroll_up,0,0.00000000,0.00000000
35,7,scroll_down,0,0.00000000,0.00000000
35,7,goto,1,0.14285714,0.00465116
35,7,python3,0,0.00000000,0.00000000
35,7,python,0,0.00000000,0.00000000
35,7,pytest,0,0.00000000,0.00000000
36,6,search_dir,0,0.00000000,0.00000000
36,6,search_file,0,0.00000000,0.00000000
36,6,find_file,0,0.00000000,0.00000000
36,6,find,0,0.00000000,0.00000000
36,6,create,0,0.00000000,0.00000000
36,6,edit,1,0.16666667,0.00074349
36,6,exit_cost,2,0.33333333,0.10000000
36,6,submit,0,0.00000000,0.00000000
36,6,open,1,0.16666667,0.00221729
36,6,scroll_up,0,0.00000000,0.00000000
36,6,scroll_down,0,0.00000000,0.00000000
36,6,goto,0,0.00000000,0.00000000
36,6,python3,0,0.00000000,0.00000000
36,6,python,2,0.33333333,0.00327332
36,6,pytest,0,0.00000000,0.00000000
37,4,search_dir,0,0.00000000,0.00000000
37,4,search_file,0,0.00000000,0.00000000
37,4,find_file,0,0.00000000,0.00000000
