k,run_resolved_count,run_resolved_percent,pass_at_k_percent,published_run_mean_percent,published_run_std_percent,raw_predictions_available
1,52,17.33,17.94,17.94,0.49,False
2,54,18.0,23.89,17.94,0.49,False
3,54,18.0,27.35,17.94,0.49,False
4,56,18.67,29.67,17.94,0.49,False
5,52,17.33,31.33,17.94,0.49,False
6,55,18.33,32.67,17.94,0.49,False
